layer,expert_params,attn_params,router_params,expert_bytes,attn_bytes,expert_GiB
0,603979776,18874368,262144,349175808.0,10911744.0,0.3252
1,603979776,18874368,262144,349175808.0,10911744.0,0.3252
2,603979776,18874368,262144,349175808.0,10911744.0,0.3252
3,603979776,18874368,262144,349175808.0,10911744.0,0.3252
4,603979776,18874368,262144,349175808.0,10911744.0,0.3252
5,603979776,18874368,262144,349175808.0,10911744.0,0.3252
6,603979776,18874368,262144,349175808.0,10911744.0,0.3252
7,603979776,18874368,262144,349175808.0,10911744.0,0.3252
8,603979776,18874368,262144,349175808.0,10911744.0,0.3252
9,603979776,18874368,262144,349175808.0,10911744.0,0.3252
10,603979776,18874368,262144,349175808.0,10911744.0,0.3252
11,603979776,18874368,262144,349175808.0,10911744.0,0.3252
12,603979776,18874368,262144,349175808.0,10911744.0,0.3252
13,603979776,18874368,262144,349175808.0,10911744.0,0.3252
14,603979776,18874368,262144,349175808.0,10911744.0,0.3252
15,603979776,18874368,262144,349175808.0,10911744.0,0.3252
16,603979776,18874368,262144,349175808.0,10911744.0,0.3252
17,603979776,18874368,262144,349175808.0,10911744.0,0.3252
18,603979776,18874368,262144,349175808.0,10911744.0,0.3252
19,603979776,18874368,262144,349175808.0,10911744.0,0.3252
20,603979776,18874368,262144,349175808.0,10911744.0,0.3252
21,603979776,18874368,262144,349175808.0,10911744.0,0.3252
22,603979776,18874368,262144,349175808.0,10911744.0,0.3252
23,603979776,18874368,262144,349175808.0,10911744.0,0.3252
24,603979776,18874368,262144,349175808.0,10911744.0,0.3252
25,603979776,18874368,262144,349175808.0,10911744.0,0.3252
26,603979776,18874368,262144,349175808.0,10911744.0,0.3252
27,603979776,18874368,262144,349175808.0,10911744.0,0.3252
28,603979776,18874368,262144,349175808.0,10911744.0,0.3252
29,603979776,18874368,262144,349175808.0,10911744.0,0.3252
30,603979776,18874368,262144,349175808.0,10911744.0,0.3252
31,603979776,18874368,262144,349175808.0,10911744.0,0.3252
32,603979776,18874368,262144,349175808.0,10911744.0,0.3252
33,603979776,18874368,262144,349175808.0,10911744.0,0.3252
34,603979776,18874368,262144,349175808.0,10911744.0,0.3252
35,603979776,18874368,262144,349175808.0,10911744.0,0.3252
36,603979776,18874368,262144,349175808.0,10911744.0,0.3252
37,603979776,18874368,262144,349175808.0,10911744.0,0.3252
38,603979776,18874368,262144,349175808.0,10911744.0,0.3252
39,603979776,18874368,262144,349175808.0,10911744.0,0.3252
40,603979776,18874368,262144,349175808.0,10911744.0,0.3252
41,603979776,18874368,262144,349175808.0,10911744.0,0.3252
42,603979776,18874368,262144,349175808.0,10911744.0,0.3252
43,603979776,18874368,262144,349175808.0,10911744.0,0.3252
44,603979776,18874368,262144,349175808.0,10911744.0,0.3252
45,603979776,18874368,262144,349175808.0,10911744.0,0.3252
46,603979776,18874368,262144,349175808.0,10911744.0,0.3252
47,603979776,18874368,262144,349175808.0,10911744.0,0.3252
