layer,expert,activation_count,share_of_layer_topk_picks
0,0,2141,0.008167
0,1,1827,0.006969
0,2,1632,0.006226
0,3,2188,0.008347
0,4,1686,0.006432
0,5,2621,0.009998
0,6,2302,0.008781
0,7,2059,0.007854
0,8,1087,0.004147
0,9,726,0.002769
0,10,1013,0.003864
0,11,2194,0.008369
0,12,1990,0.007591
0,13,929,0.003544
0,14,2218,0.008461
0,15,1447,0.005520
0,16,1359,0.005184
0,17,2983,0.011379
0,18,2030,0.007744
0,19,2216,0.008453
0,20,2195,0.008373
0,21,936,0.003571
0,22,2274,0.008675
0,23,4502,0.017174
0,24,1133,0.004322
0,25,2681,0.010227
0,26,2850,0.010872
0,27,2783,0.010616
0,28,1586,0.006050
0,29,1733,0.006611
0,30,1143,0.004360
0,31,1849,0.007053
0,32,3369,0.012852
0,33,1432,0.005463
0,34,712,0.002716
0,35,1995,0.007610
0,36,2829,0.010792
0,37,1781,0.006794
0,38,3905,0.014896
0,39,1800,0.006866
0,40,2051,0.007824
0,41,1203,0.004589
0,42,1737,0.006626
0,43,2808,0.010712
0,44,2754,0.010506
0,45,3269,0.012470
0,46,2703,0.010311
0,47,2361,0.009007
0,48,696,0.002655
0,49,1330,0.005074
0,50,4888,0.018646
0,51,1591,0.006069
0,52,2560,0.009766
0,53,1875,0.007153
0,54,2605,0.009937
0,55,2034,0.007759
0,56,1260,0.004807
0,57,1314,0.005013
0,58,2287,0.008724
0,59,1557,0.005939
0,60,737,0.002811
0,61,2406,0.009178
0,62,3094,0.011803
0,63,2863,0.010921
0,64,2956,0.011276
0,65,913,0.003483
0,66,3783,0.014431
0,67,1815,0.006924
0,68,1248,0.004761
0,69,1563,0.005962
0,70,1436,0.005478
0,71,1105,0.004215
0,72,1947,0.007427
0,73,2130,0.008125
0,74,1781,0.006794
0,75,2172,0.008286
0,76,1906,0.007271
0,77,1434,0.005470
0,78,1520,0.005798
0,79,2487,0.009487
0,80,992,0.003784
0,81,1548,0.005905
0,82,2850,0.010872
0,83,2163,0.008251
0,84,2519,0.009609
0,85,1961,0.007481
0,86,1166,0.004448
0,87,1629,0.006214
0,88,2068,0.007889
0,89,1642,0.006264
0,90,1806,0.006889
0,91,2146,0.008186
0,92,2776,0.010590
0,93,1673,0.006382
0,94,3061,0.011677
0,95,1960,0.007477
0,96,2909,0.011097
0,97,3191,0.012173
0,98,3958,0.015099
0,99,3172,0.012100
0,100,3030,0.011559
0,101,3953,0.015079
0,102,861,0.003284
0,103,1264,0.004822
0,104,2999,0.011440
0,105,614,0.002342
0,106,2157,0.008228
0,107,2143,0.008175
0,108,969,0.003696
0,109,1297,0.004948
0,110,2614,0.009972
0,111,2552,0.009735
0,112,1620,0.006180
0,113,1327,0.005062
0,114,1483,0.005657
0,115,2480,0.009460
0,116,1012,0.003860
0,117,2051,0.007824
0,118,978,0.003731
0,119,2774,0.010582
0,120,2105,0.008030
0,121,3406,0.012993
0,122,629,0.002399
0,123,720,0.002747
0,124,1439,0.005489
0,125,3619,0.013805
0,126,1213,0.004627
0,127,3330,0.012703
1,0,2229,0.008503
1,1,2197,0.008381
1,2,2752,0.010498
1,3,1293,0.004932
1,4,1570,0.005989
1,5,1068,0.004074
1,6,2207,0.008419
1,7,4199,0.016018
1,8,1789,0.006824
1,9,2501,0.009541
1,10,2479,0.009457
1,11,2246,0.008568
1,12,1950,0.007439
1,13,3597,0.013721
1,14,2178,0.008308
1,15,1685,0.006428
1,16,3225,0.012302
1,17,2877,0.010975
1,18,2403,0.009167
1,19,2087,0.007961
1,20,3954,0.015083
1,21,2060,0.007858
1,22,1642,0.006264
1,23,2699,0.010296
1,24,1812,0.006912
1,25,2172,0.008286
1,26,1746,0.006660
1,27,1962,0.007484
1,28,937,0.003574
1,29,1402,0.005348
1,30,1559,0.005947
1,31,1067,0.004070
1,32,1937,0.007389
1,33,2308,0.008804
1,34,1369,0.005222
1,35,4738,0.018074
1,36,2000,0.007629
1,37,2602,0.009926
1,38,1358,0.005180
1,39,1381,0.005268
1,40,3931,0.014996
1,41,2792,0.010651
1,42,1946,0.007423
1,43,1119,0.004269
1,44,4026,0.015358
1,45,1332,0.005081
1,46,1746,0.006660
1,47,2010,0.007668
1,48,2516,0.009598
1,49,2153,0.008213
1,50,2140,0.008163
1,51,4620,0.017624
1,52,2205,0.008411
1,53,2571,0.009808
1,54,1089,0.004154
1,55,2880,0.010986
1,56,885,0.003376
1,57,1569,0.005985
1,58,5184,0.019775
1,59,1517,0.005787
1,60,2135,0.008144
1,61,1199,0.004574
1,62,1295,0.004940
1,63,3474,0.013252
1,64,1752,0.006683
1,65,1981,0.007557
1,66,1860,0.007095
1,67,975,0.003719
1,68,2011,0.007671
1,69,3309,0.012623
1,70,1442,0.005501
1,71,2523,0.009624
1,72,3278,0.012505
1,73,1188,0.004532
1,74,3196,0.012192
1,75,799,0.003048
1,76,2823,0.010769
1,77,1858,0.007088
1,78,1253,0.004780
1,79,2045,0.007801
1,80,1648,0.006287
1,81,916,0.003494
1,82,3202,0.012215
1,83,3434,0.013100
1,84,1385,0.005283
1,85,1838,0.007011
1,86,1760,0.006714
1,87,1919,0.007320
1,88,1115,0.004253
1,89,3154,0.012032
1,90,2155,0.008221
1,91,1326,0.005058
1,92,1753,0.006687
1,93,1501,0.005726
1,94,1995,0.007610
1,95,2843,0.010845
1,96,2785,0.010624
1,97,1244,0.004745
1,98,2281,0.008701
1,99,1391,0.005306
